                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8769,                 2.3706,                 2.5407,                0.41351,                0.63394,                0.45147,                 0.2343,                 1.9718,                 2.0422,                 2.7227,             0.00091256,             0.00091256,             0.00091256
                     35,                 1.8859,                 2.4038,                 2.5405,                0.31402,                0.55475,                0.33414,                0.14853,                 1.8613,                 2.5375,                 2.5889,             0.00088899,             0.00088899,             0.00088899
                     36,                 1.8226,                 2.3614,                 2.5463,                0.30031,                 0.5294,                0.30715,                 0.1283,                 1.7855,                 2.4977,                 2.5904,             0.00086541,             0.00086541,             0.00086541
                     37,                 1.7674,                 2.3125,                 2.4486,                0.36907,                0.59595,                0.40141,                0.20202,                 1.7403,                 2.2062,                  2.515,             0.00084184,             0.00084184,             0.00084184
                     38,                  1.758,                 2.3248,                 2.4245,                0.35113,                0.55415,                0.40472,                0.21692,                 1.5911,                 2.1329,                 2.4306,             0.00081826,             0.00081826,             0.00081826
                     39,                 1.7589,                   2.29,                 2.4463,                 0.4088,                0.60163,                0.50246,                0.26635,                 1.7143,                 1.9702,                 2.4636,             0.00079468,             0.00079468,             0.00079468
                     40,                 1.7562,                 2.2147,                 2.4593,                0.39529,                0.63896,                0.48146,                0.23648,                 1.6352,                 1.9911,                  2.439,             0.00077111,             0.00077111,             0.00077111
                     41,                 1.7455,                 2.2494,                 2.4481,                0.37643,                0.69595,                0.46621,                0.24808,                  1.583,                 1.9123,                 2.3884,             0.00074753,             0.00074753,             0.00074753
                     42,                 1.6702,                 2.1889,                 2.3869,                0.41575,                0.70647,                0.49179,                0.26452,                 1.6309,                 1.8304,                 2.3883,             0.00072395,             0.00072395,             0.00072395
                     43,                 1.6357,                 2.1886,                 2.3499,                0.43285,                0.65862,                0.49133,                0.23714,                 1.6641,                 1.8942,                 2.4644,             0.00070038,             0.00070038,             0.00070038
                     44,                 1.5717,                 2.0974,                 2.2471,                0.46703,                0.68113,                0.50576,                  0.261,                 1.5549,                 1.8434,                 2.3458,              0.0006768,              0.0006768,              0.0006768
                     45,                 1.6269,                 2.1276,                 2.3023,                0.53951,                0.68538,                0.62376,                0.33139,                 1.5168,                 1.6904,                  2.289,             0.00065323,             0.00065323,             0.00065323
                     46,                 1.5798,                 2.0837,                 2.2624,                0.57935,                0.66036,                0.65107,                 0.3533,                 1.5319,                 1.6668,                 2.2815,             0.00062965,             0.00062965,             0.00062965
                     47,                 1.5896,                 2.0409,                 2.2806,                0.63358,                0.65487,                0.67042,                0.37287,                 1.5547,                 1.6519,                 2.2906,             0.00060607,             0.00060607,             0.00060607
                     48,                 1.5444,                 1.9482,                 2.2649,                0.68732,                0.62581,                0.67305,                0.35555,                   1.53,                  1.686,                   2.32,              0.0005825,              0.0005825,              0.0005825
                     49,                 1.5119,                 2.0224,                 2.2288,                0.62694,                0.60921,                0.67158,                0.36015,                    1.5,                 1.6466,                  2.287,             0.00055892,             0.00055892,             0.00055892
                     50,                 1.5547,                 2.0148,                 2.2569,                0.66142,                 0.6075,                0.68451,                 0.3842,                 1.4707,                 1.6495,                 2.2651,             0.00053535,             0.00053535,             0.00053535
                     51,                 1.5415,                 2.0511,                 2.2284,                0.60479,                0.63769,                0.67295,                0.39032,                 1.4158,                 1.6753,                 2.2015,             0.00051177,             0.00051177,             0.00051177
                     52,                 1.5063,                 2.0438,                 2.2023,                0.67772,                0.64057,                0.72537,                0.37584,                 1.5026,                 1.5902,                 2.2495,             0.00048819,             0.00048819,             0.00048819
                     53,                 1.5553,                 2.0163,                  2.265,                0.56956,                0.71797,                0.71375,                0.40257,                 1.4894,                 1.5447,                 2.2367,             0.00046462,             0.00046462,             0.00046462
                     54,                 1.5756,                 2.0207,                 2.2412,                0.69022,                0.63551,                0.74142,                0.42458,                 1.4594,                 1.4745,                 2.1971,             0.00044104,             0.00044104,             0.00044104
                     55,                 1.4938,                 1.9595,                 2.1932,                0.66505,                 0.7014,                0.74755,                0.42199,                 1.4345,                   1.44,                 2.1724,             0.00041746,             0.00041746,             0.00041746
                     56,                 1.4617,                 1.8216,                 2.1357,                0.72094,                0.72474,                0.77706,                0.45456,                 1.3719,                 1.3977,                 2.1201,             0.00039389,             0.00039389,             0.00039389
                     57,                 1.4255,                 1.7944,                 2.1334,                0.69561,                0.74375,                0.78153,                0.45299,                 1.3341,                 1.4607,                 2.0909,             0.00037031,             0.00037031,             0.00037031
                     58,                 1.4661,                 1.8547,                 2.1705,                0.63537,                0.74487,                0.75622,                0.44148,                 1.3212,                 1.5072,                 2.0854,             0.00034674,             0.00034674,             0.00034674
                     59,                 1.4491,                 1.7934,                  2.165,                0.71148,                0.72764,                0.77549,                0.46836,                 1.3302,                  1.382,                 2.0876,             0.00032316,             0.00032316,             0.00032316
                     60,                 1.4474,                  1.834,                 2.1423,                0.73807,                0.74628,                0.78596,                0.45871,                 1.3564,                 1.3721,                 2.1246,             0.00029958,             0.00029958,             0.00029958
                     61,                 1.4272,                 2.0757,                 2.2014,                0.72328,                0.73783,                0.77172,                0.45136,                 1.3866,                 1.3976,                  2.128,             0.00027601,             0.00027601,             0.00027601
                     62,                 1.3994,                 1.8218,                 2.1692,                0.75599,                0.70224,                0.77077,                0.46584,                  1.398,                 1.3793,                 2.1115,             0.00025243,             0.00025243,             0.00025243
                     63,                 1.3458,                 1.7029,                 2.1334,                0.70278,                0.75154,                0.78962,                0.51855,                 1.2813,                 1.3187,                 2.0457,             0.00022886,             0.00022886,             0.00022886
                     64,                  1.364,                 1.5986,                 2.1562,                0.73207,                0.72523,                0.79689,                0.48773,                 1.3899,                 1.3877,                  2.075,             0.00020528,             0.00020528,             0.00020528
                     65,                  1.251,                 1.5063,                 2.0283,                0.71668,                0.77931,                0.80924,                0.50253,                 1.3294,                   1.36,                 2.0227,              0.0001817,              0.0001817,              0.0001817
                     66,                 1.3177,                 1.5077,                 2.1202,                0.75594,                0.79365,                0.83194,                0.52627,                 1.2567,                 1.3012,                 2.0107,             0.00015813,             0.00015813,             0.00015813
                     67,                 1.2759,                 1.4972,                 2.0765,                0.74073,                0.76969,                0.81543,                0.52201,                 1.2448,                 1.2961,                 1.9977,             0.00013455,             0.00013455,             0.00013455
                     68,                 1.2411,                 1.4924,                  2.026,                0.76453,                0.75332,                0.81718,                0.52756,                 1.2132,                  1.268,                 1.9731,             0.00011097,             0.00011097,             0.00011097
                     69,                 1.2165,                   1.45,                 1.9762,                0.71132,                0.79083,                 0.8163,                0.53631,                 1.1877,                 1.2597,                 1.9669,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     70,                 1.2659,                 1.4359,                 2.0407,                0.74526,                 0.7879,                 0.8355,                 0.5474,                 1.1712,                 1.2484,                 1.9569,             6.3822e-05,             6.3822e-05,             6.3822e-05
